Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/04/2023 10:17:46.428,66,13.0,-3276.8,173,0.06,0.08,3.913,64650.000,0.000940,0.000280,0.86,0.98,-0.04,0.07,-0.15,-0.02
03/04/2023 10:17:47.428,67,13.0,-3276.8,173,0.07,0.14,3.913,64696.000,0.000940,0.000240,0.86,0.98,-0.16,0.01,-0.15,-0.03
03/04/2023 10:17:48.428,67,12.7,-3276.8,172,0.05,0.10,3.913,64676.000,0.000940,0.000180,0.87,0.97,-0.15,0.06,-0.18,-0.06
03/04/2023 10:17:49.428,66,12.5,-3276.8,172,0.02,0.07,3.913,64895.000,0.000940,0.000220,0.87,0.97,-0.04,0.06,-0.21,-0.08
03/04/2023 10:17:50.428,66,12.4,-3276.8,172,0.03,0.07,3.913,65058.000,0.000940,0.000880,0.86,0.96,-0.06,0.03,-0.21,-0.04
03/04/2023 10:17:51.428,68,12.3,-3276.8,173,0.04,0.12,3.913,62947.000,0.000940,0.001040,0.89,0.96,-0.04,0.08,-0.14,0.01
03/04/2023 10:17:52.428,68,12.6,-3276.8,174,0.03,0.09,3.913,54934.000,0.000940,0.001000,0.89,0.97,-0.01,0.07,-0.13,-0.02
03/04/2023 10:17:53.428,68,12.9,-3276.8,175,0.04,0.12,3.913,49831.000,0.000940,0.000740,0.87,0.96,0.02,0.14,-0.09,-0.01
03/04/2023 10:17:54.428,68,14.1,-3276.8,173,0.07,0.16,3.913,52415.000,0.000940,0.000520,0.87,0.97,-0.14,0.06,-0.15,0.00
03/04/2023 10:17:55.428,68,15.3,-3276.8,173,0.03,0.07,3.913,55763.000,0.000940,0.000400,0.87,0.96,-0.09,0.00,-0.14,-0.09
03/04/2023 10:17:56.428,69,16.1,-3276.8,171,0.02,0.06,3.913,58257.000,0.000940,0.000260,0.89,0.95,-0.10,-0.02,-0.14,-0.10
03/04/2023 10:17:57.428,70,16.5,-3276.8,170,0.04,0.09,3.913,59929.000,0.000940,0.000180,0.89,0.96,-0.15,-0.02,-0.14,-0.07
